images;Image url;Max Price;Number of sold items;Price;Product Details Url;Product Title;;categories
https://ae01.alicdn.com/kf/H1d30dca238324856bac601c9258d5631s/Smart-Watch-Phone-Bluetooth-Waterproof-for-Android-IOS-Camera-Call-SIM-TF-Card.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/H1d30dca238324856bac601c9258d5631s/Smart-Watch-Phone-Bluetooth-Waterproof-for-Android-IOS-Camera-Call-SIM-TF-Card.jpg_220x220xz.jpg;;3 vendu(s);MAD 198.73;fr.aliexpress.com/item/1005002694430091.html;Montre connectée Bluetooth pour téléphones Android et IOS. étanche. appels avec caméra. carte SIM TF;;smart phones
https://ae01.alicdn.com/kf/S3437ee744795499d8aaae9075a3182d3d/Xiaomi-Mi-Max-3-MAX-2-MAX-1-6-9-inch-4G-RAM-64GB-ROM-Fingerprint.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/S3437ee744795499d8aaae9075a3182d3d/Xiaomi-Mi-Max-3-MAX-2-MAX-1-6-9-inch-4G-RAM-64GB-ROM-Fingerprint.jpg_220x220xz.jpg;;124 vendu(s);MAD 805.26;fr.aliexpress.com/item/1005002637747847.html;Xiaomi – téléphone portable Mi Max 3 MAX 2 MAX 1. écran de 6.9 pouces. 4 go de RAM. 64 go de ROM. lecteur d'empreinte digitale. 4G. Android;;smart phones
https://ae01.alicdn.com/kf/S43c7d709824942d296b5d7990e1172c6N/DOOGEE-S88-Plus-Rugged-SmartPhone-48MP-Main-Camera-8GB-RAM-128GB-ROM-IP68-IP69K-smart-phone.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/S43c7d709824942d296b5d7990e1172c6N/DOOGEE-S88-Plus-Rugged-SmartPhone-48MP-Main-Camera-8GB-RAM-128GB-ROM-IP68-IP69K-smart-phone.jpg_220x220xz.jpg;;881 vendu(s);MAD 2.126.39;fr.aliexpress.com/item/1005002018904384.html;DOOGEE S88 Plus SmartPhone. téléphone portable robuste. caméra principale 48mp. 8 go de RAM. 128 go de ROM. IP68/IP69K. Android 10 OS. version globale;;smart phones
https://ae01.alicdn.com/kf/U2ea673b9bf6a4a18bf376a1056f19e1cF/XGODY-3G-Smartphone-Android-9-0-6-18-9-2GB-16GB-Mobile-Phone-MTK6580-Quad-Core.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/U2ea673b9bf6a4a18bf376a1056f19e1cF/XGODY-3G-Smartphone-Android-9-0-6-18-9-2GB-16GB-Mobile-Phone-MTK6580-Quad-Core.jpg_220x220xz.jpg;;39 vendu(s);MAD 583.37;fr.aliexpress.com/item/4000296993211.html;XGODY 6 pouces Téléphone intelligent Android 9.0 2Go 16Go Mobile Téléphone MTK6580 Quad Core 2800mAh 3G Dual SIM 5MP GPS WiFi Mate X Téléphone portable;;smart phones
https://ae01.alicdn.com/kf/HTB1.9PEXeP2gK0jSZFoq6yuIVXap/UNIWA-Mini-Mobile-Phone-L8STAR-BM70-Wireless-Bluetooth-Earphone-Cellphone-Stereo-GSM-Unlocked-Phone-Super-Thin.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/HTB1.9PEXeP2gK0jSZFoq6yuIVXap/UNIWA-Mini-Mobile-Phone-L8STAR-BM70-Wireless-Bluetooth-Earphone-Cellphone-Stereo-GSM-Unlocked-Phone-Super-Thin.jpg_220x220xz.jpg;;664 vendu(s);MAD 172.09;fr.aliexpress.com/item/33058659544.html;UNIWA — Téléphone portable mini L8STAR BM70 débloqué. petit cellulaire .connectivité GSM et Bluetooth. écouteurs sans fils. son stéréo. ultra-fin;;smart phones
https://ae01.alicdn.com/kf/Sa5013ff31e644425b4da10f14cc236709/V20-Pro-7-3Inch-HD-Fullscreen-MTK6889-Deca-Core-CPU-12-512GB-1440x3200-24MP-48MP-5600mAH.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/Sa5013ff31e644425b4da10f14cc236709/V20-Pro-7-3Inch-HD-Fullscreen-MTK6889-Deca-Core-CPU-12-512GB-1440x3200-24MP-48MP-5600mAH.jpg_220x220xz.jpg;;;MAD 918.59;fr.aliexpress.com/item/1005004276507865.html;Smartphone V20 Pro. téléphone portable. écran HD de 7.3 pouces. processeur Deca Core. 12 go de ram. 512 go de rom. 1440x3200. 24mp + 48mp. batterie de 5600mAH. MTK6889;;smart phones
https://ae01.alicdn.com/kf/H4104ba8f3dd041d99f0755acd2e53a57D/Infinix-hot-10-lite-Global-Version-2GB-32GB-Smart-Phone-6-6-HD-1600-720P-5000mAh.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/H4104ba8f3dd041d99f0755acd2e53a57D/Infinix-hot-10-lite-Global-Version-2GB-32GB-Smart-Phone-6-6-HD-1600-720P-5000mAh.jpg_220x220xz.jpg;;411 vendu(s);MAD 1.046.84;fr.aliexpress.com/item/1005001828282979.html;Infinix – smartphone 10 lite. Version globale. 2 go 32 go. 6.6 pouces hd 1600*720P. batterie 5000mAh. caméra 13mp. Helio A20;;smart phones
https://ae01.alicdn.com/kf/S4a506484cc5b40af8e3f123e3a9cb407g/OUKITEL-C23pro-Smartphone-4G-LTE-6-5-Inch-4GB-64GB-13MP-Four-in-One-HD-Camera.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/S4a506484cc5b40af8e3f123e3a9cb407g/OUKITEL-C23pro-Smartphone-4G-LTE-6-5-Inch-4GB-64GB-13MP-Four-in-One-HD-Camera.jpg_220x220xz.jpg;;9 vendu(s);MAD 994.05;fr.aliexpress.com/item/1005002433834963.html;OUKITEL – Smartphone C23pro 4G LTE débloqué. téléphone portable. 4 go de ram. 64 go de rom. écran de 6.5 pouces. caméra HD de 13 mpx. 4 en 1. Android 10. batterie de 5000mAh;;smart phones
https://ae01.alicdn.com/kf/H922c16ccdd0e486fa0877418119e4890U/LG-H410-Refurbished-Original-Unlocked-LG-Wine-Smart-LG-H410-Quad-Core-3-2-Inches-1GB.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/H922c16ccdd0e486fa0877418119e4890U/LG-H410-Refurbished-Original-Unlocked-LG-Wine-Smart-LG-H410-Quad-Core-3-2-Inches-1GB.jpg_220x220xz.jpg;;4 vendu(s);MAD 885.39;fr.aliexpress.com/item/4000298721857.html;LG – smartphone H410 reconditionné et Original débloqué. téléphone portable. 1 go de RAM. 4 go de ROM. processeur Quad-Core. écran 3.2 pouces. caméra 3.15 mpx. connectivité LTE;;smart phones
https://ae01.alicdn.com/kf/H714bff2814fa43dba8661d96f060e1dfR/Xiaomi-Mi-Max-3-MAX-2-MAX-1-6-9-inch-4G-RAM-64GB-ROM-Fingerprint.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/H714bff2814fa43dba8661d96f060e1dfR/Xiaomi-Mi-Max-3-MAX-2-MAX-1-6-9-inch-4G-RAM-64GB-ROM-Fingerprint.jpg_220x220xz.jpg;;118 vendu(s);MAD 814.21;fr.aliexpress.com/item/1005003652825480.html;Xiaomi – téléphone portable Mi Max 3 MAX 2 MAX 1. écran de 6.9 pouces. 4 go de RAM. 64 go de ROM. lecteur d'empreinte digitale. 4G. Android;;smart phones
